normalized_url,raw_url_count,clicks,impressions,ctr_percent,avg_position,present_in_gsc
"https://xuongmaygiatot.vn/tim-xuong-may-uy-tin-co-review-tot-tai-tp-hcm/","1","0","4","0.00","7.00","yes"
"https://xuongmaygiatot.vn/category/tin-tuc/page/5/","1","0","4","0.00","8.50","yes"
"https://xuongmaygiatot.vn/category/tin-tuc/page/3/","1","0","4","0.00","8.75","yes"
"https://xuongmaygiatot.vn/wp-content/themes/wtgshop/assets/?ND=","1","0","4","0.00","9.00","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-trang-ngan-tay-phong-cach-phap/","1","0","4","0.00","47.00","yes"
"https://xuongmaygiatot.vn/xu-huong-phat-trien-thuong-hieu-thoi-trang/","1","0","2","0.00","5.00","yes"
"https://xuongmaygiatot.vn/may-theo-yeu-cau-loi-ich-xuong-may/","1","0","2","0.00","11.50","yes"
"https://xuongmaygiatot.vn/dich-vu-may-mac/dich-vu-may-dong-phuc-gia-tot-xuong-may-adren/","1","0","2","0.00","63.50","yes"
"https://xuongmaygiatot.vn/san-pham/ao-polo-nam-mau-8/","1","0","1","0.00","5.00","yes"
"https://xuongmaygiatot.vn/san-pham/ao-polo-nam-mau-10/","1","0","1","0.00","8.00","yes"
"https://xuongmaygiatot.vn/?SD=","1","0","1","0.00","9.00","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-caro-xanh-nho-oversize-nam-nu-dai-tay-co-be-tui-nguc-form-rong-thoai-mai/","1","0","1","0.00","10.00","yes"
"https://xuongmaygiatot.vn/don-hang-tich-cuc-tu-quy-3-va-4-nganh-det-may-ky-vong-tang-truong-tu-8-10/","1","0","1","0.00","56.00","yes"
"https://xuongmaygiatot.vn/cap-nhat-20-cach-phoi-do-thoi-trang-nam-tre-trung-sanh-dieu-nhat/","1","0","1","0.00","58.00","yes"
